Linux 5.13.0-30-generic (jubuntu) 	2022년 02월 23일 	_x86_64_	(24 CPU)

17시 13분 55초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 13분 56초  all   11.69    0.00    3.44    0.38    0.00    0.00    0.00    0.00    0.00   84.50
17시 13분 57초  all   24.63    0.00    2.98    1.30    0.00    0.04    0.00    0.00    0.00   71.04
17시 13분 58초  all   32.83    0.00    3.09    1.42    0.00    0.13    0.00    0.00    0.00   62.53
17시 13분 59초  all   35.17    0.00    2.50    0.00    0.00    0.04    0.00    0.00    0.00   62.29
17시 14분 00초  all   34.90    0.00    2.75    0.00    0.00    0.12    0.00    0.00    0.00   62.22
17시 14분 01초  all   34.96    0.00    2.58    0.00    0.00    0.21    0.00    0.00    0.00   62.25
17시 14분 02초  all   35.20    0.00    2.66    0.08    0.00    0.33    0.00    0.00    0.00   61.73
17시 14분 03초  all   34.50    0.00    2.92    0.29    0.00    0.17    0.00    0.00    0.00   62.12
17시 14분 04초  all   34.93    0.00    2.99    1.79    0.00    0.12    0.00    0.00    0.00   60.17
17시 14분 05초  all   34.79    0.00    3.04    0.54    0.00    0.29    0.00    0.00    0.00   61.34
17시 14분 06초  all   30.34    0.00    3.01    2.55    0.00    0.13    0.00    0.00    0.00   63.98
17시 14분 07초  all   16.72    0.00    2.47    8.90    0.00    0.04    0.00    0.00    0.00   71.88
17시 14분 08초  all    9.60    0.00    2.17    9.98    0.00    0.00    0.00    0.00    0.00   78.25
17시 14분 09초  all    7.20    0.00    3.43    3.43    0.00    0.00    0.00    0.00    0.00   85.94
17시 14분 10초  all    6.80    0.00    1.59    0.00    0.00    0.00    0.00    0.00    0.00   91.61
17시 14분 11초  all    7.08    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   91.50
17시 14분 12초  all    5.69    0.00    1.63    0.08    0.00    0.00    0.00    0.00    0.00   92.60
17시 14분 13초  all    2.88    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   95.41
17시 14분 14초  all    2.96    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   95.71
17시 14분 15초  all    3.01    0.00    1.21    0.00    0.00    0.00    0.00    0.00    0.00   95.78
17시 14분 16초  all    3.00    0.00    1.37    0.00    0.00    0.00    0.00    0.00    0.00   95.63
17시 14분 17초  all    2.83    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   95.71
17시 14분 18초  all    2.84    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   95.70
17시 14분 19초  all    2.54    0.00    1.79    0.00    0.00    0.00    0.00    0.00    0.00   95.67
17시 14분 20초  all    2.84    0.00    1.38    0.00    0.00    0.00    0.00    0.00    0.00   95.79
17시 14분 21초  all    3.12    0.00    1.12    0.00    0.00    0.00    0.00    0.00    0.00   95.75
17시 14분 22초  all    2.83    0.00    1.54    0.00    0.00    0.00    0.00    0.00    0.00   95.63
17시 14분 23초  all    2.92    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   95.74
17시 14분 24초  all    3.04    0.00    1.54    0.00    0.00    0.00    0.00    0.00    0.00   95.42
17시 14분 25초  all    2.84    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   95.75
Average:     all   14.49    0.00    2.11    1.02    0.00    0.05    0.00    0.00    0.00   82.32
