Linux 5.13.0-30-generic (jubuntu) 	2022년 02월 23일 	_x86_64_	(24 CPU)

17시 12분 23초  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
17시 12분 24초  all    7.22    0.00    2.17    0.08    0.00    0.04    0.00    0.00    0.00   90.48
17시 12분 25초  all    7.06    0.00    1.88    0.00    0.00    0.00    0.00    0.00    0.00   91.06
17시 12분 26초  all    8.61    0.00    4.39    0.00    0.00    0.04    0.00    0.00    0.00   86.96
17시 12분 27초  all    7.35    0.00    2.67    0.00    0.00    0.00    0.00    0.00    0.00   89.97
17시 12분 28초  all    7.52    0.00    2.00    0.00    0.00    0.00    0.00    0.00    0.00   90.48
17시 12분 29초  all    6.93    0.00    2.13    1.38    0.00    0.00    0.00    0.00    0.00   89.57
17시 12분 30초  all    8.05    0.00    2.17    0.00    0.00    0.00    0.00    0.00    0.00   89.78
17시 12분 31초  all    7.84    0.00    2.29    0.00    0.00    0.04    0.00    0.00    0.00   89.82
17시 12분 32초  all    7.87    0.00    3.56    0.00    0.00    0.00    0.00    0.00    0.00   88.57
17시 12분 33초  all    7.17    0.00    2.21    0.00    0.00    0.00    0.00    0.00    0.00   90.62
17시 12분 34초  all    3.94    0.00    2.39    0.59    0.00    0.04    0.00    0.00    0.00   93.05
17시 12분 35초  all    5.73    0.00    4.18    0.00    0.00    0.00    0.00    0.00    0.00   90.10
17시 12분 36초  all   10.07    0.00    4.76    0.00    0.00    0.00    0.00    0.00    0.00   85.17
17시 12분 37초  all    9.25    0.00    1.75    0.00    0.00    0.00    0.00    0.00    0.00   89.00
17시 12분 38초  all    9.36    0.00    2.87    0.00    0.00    0.04    0.00    0.00    0.00   87.73
17시 12분 39초  all   10.02    0.00    4.13    0.00    0.00    0.00    0.00    0.00    0.00   85.85
17시 12분 40초  all    6.40    0.00    7.32    0.00    0.00    0.00    0.00    0.00    0.00   86.29
17시 12분 41초  all    5.93    0.00    6.01    0.00    0.00    0.08    0.00    0.00    0.00   87.98
17시 12분 42초  all   11.62    0.00    4.37    0.00    0.00    0.00    0.00    0.00    0.00   84.01
17시 12분 43초  all    3.80    0.00    3.80    0.00    0.00    0.17    0.00    0.00    0.00   92.23
17시 12분 44초  all    2.96    0.00    1.71    0.00    0.00    0.00    0.00    0.00    0.00   95.32
17시 12분 45초  all    2.84    0.00    1.63    0.00    0.00    0.00    0.00    0.00    0.00   95.54
17시 12분 46초  all    3.35    0.00    1.51    0.00    0.00    0.00    0.00    0.00    0.00   95.15
17시 12분 47초  all    3.00    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   95.54
17시 12분 48초  all    2.88    0.00    1.42    0.00    0.00    0.00    0.00    0.00    0.00   95.70
17시 12분 49초  all    2.92    0.00    1.46    0.00    0.00    0.00    0.00    0.00    0.00   95.62
17시 12분 50초  all    3.67    0.00    1.34    0.00    0.00    0.00    0.00    0.00    0.00   94.99
17시 12분 51초  all    4.01    0.00    1.21    0.00    0.00    0.04    0.00    0.00    0.00   94.74
17시 12분 52초  all    3.58    0.00    1.33    0.00    0.00    0.00    0.00    0.00    0.00   95.09
17시 12분 53초  all    2.92    0.00    1.38    0.00    0.00    0.00    0.00    0.00    0.00   95.70
Average:     all    6.13    0.00    2.72    0.07    0.00    0.02    0.00    0.00    0.00   91.07
